DIAGNOSTIC,PS32K,CACHESIZE,HAVE_STATISTICS,PS16K,HAVE_REPLICATION,PS8K,HAVE_CRYPTO,HAVE_SEQUENCE,CS16MB,PS1K,HAVE_VERIFY,CS32MB,HAVE_HASH,CS64MB,PAGESIZE,CS512MB,PS4K,PERFORMANCE
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.634213026
1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.639950385
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.639552316
1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.633404692
1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.582306231
1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.573065949
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0.576374243
1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0.568295718
1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.94734859
1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.951975949
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.944716128
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.947760795
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.462760368
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.464382154
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.462906974
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.463825769
1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.51007441
1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.506797
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0.508516763
1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.50964341
1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,19.96091126
1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,19.97858892
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,19.95865126
1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,19.99529554
1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,3.301858
1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,3.281141385
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,3.284930385
1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,3.286211897
1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,37.63642964
1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,37.6640755
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,37.6791567
1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,37.65053526
1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,6.529475436
1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,6.546446205
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,6.542749205
1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,6.528696769
1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,10.75135367
1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,10.73302487
1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,10.74750492
1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,10.74228897
1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,21.26558434
1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,21.29392505
1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,21.29661842
1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,21.29568673
1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,2.08058759
1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,2.079396868
1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,2.084607487
1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,2.087521333
1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,38.93446121
1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,38.93964177
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,38.93680561
1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,38.92322882
1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,5.869864641
1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,5.870477385
1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,5.874715769
1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,5.860537949
1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,10.93500403
1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,10.93758497
1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,10.943653
1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,10.95426658
1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,21.28644432
1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,21.27358743
1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,21.27730843
1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,21.25479949
1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,2.065326769
1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,2.066136667
1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,2.063355556
1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,2.058864308
1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,38.90261726
1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,38.86506021
1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,38.98807792
1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,38.93388518
1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,5.840418692
1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,5.851623868
1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,5.840514
1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,5.826623436
1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,10.93649951
1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,10.91078935
1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,10.92760941
1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,10.92663874
1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,21.27128333
1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,21.25208054
1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,21.28770885
1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,21.272041
1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,2.092158462
1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,2.073671949
1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,2.075955103
1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,2.075359256
1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,38.882304
1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,38.8572722
1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,38.88128473
1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,38.88745345
1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,5.862202538
1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,5.870873872
1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,5.846741816
1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,5.850268179
1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,10.95496989
1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,10.93798633
1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,10.93809179
1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,10.9552368
1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,21.24630553
1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,21.24085666
1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,21.21630808
1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,21.25088186
1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,2.086518684
1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,2.085057189
1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,2.089374256
1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,2.087179641
1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,38.84290237
1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,38.8596601
1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,39.02443742
1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,38.87234142
1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,5.863058923
1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,5.861659737
1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,5.858405667
1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,5.853967564
1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,10.94005484
1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,10.91980451
1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,10.92284295
1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,10.94146097
0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,21.30905967
0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,21.31407208
0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,21.29515979
0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,21.30114826
0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,2.039251154
0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,2.034252897
0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,2.034687795
0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,2.039266256
0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,39.05244766
0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,39.06880739
0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,39.08504824
0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,39.01159566
0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,5.845653051
0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,5.833308179
0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,5.846927359
0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,5.835006795
0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,10.93955262
0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,10.93388562
0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,10.93090467
0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,10.95195554
0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,21.26518723
0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,21.29302503
0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,21.25348738
0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,21.27398444
0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,2.041516821
0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,2.036408821
0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,2.031248564
0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,2.030842744
0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,39.02552428
0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,38.97751023
0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,38.96267576
0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,38.99976408
0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,5.843382641
0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,5.835302103
0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,5.833110333
0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,5.845709641
0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,10.92514289
0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,10.91302646
0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,10.90934866
0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,10.93519018
1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,21.19897587
1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,21.2099142
1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,21.23695454
1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,21.2035749
1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,2.086072925
1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,2.080248974
1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,2.085705744
