no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref_1,ref_5,ref_9,PERFORMANCE
1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,268.72
1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,267.8533333
1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,260.6366667
1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,773.4633333
1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,690.8733333
1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,783.7833333
1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,690.39
1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,783.5166667
1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,683.52
1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,683.5433333
1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,775.81
1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,775.68
1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,561.8466667
1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,244.4333333
1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,652.4833333
1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,556.63
1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,645.51
1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,561.9333333
1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,555.6333333
1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,651.64
1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,644.16
1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,561.97
1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,652.3733333
1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,561.3333333
1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,249.73
1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,651.2
1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,556.34
1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,555.18
1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,645.38
1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,644.0333333
1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,612.97
1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,604.7466667
1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,612.6433333
1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,604.1233333
1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,511.1533333
1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,244.2766667
1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,510.8566667
1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,509.37
