"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
18,1,2,1,30,1e-06,1278.45588235271,3.94698610655057,303.59188464996,308.015341324205,0.398085355758667
18,2,2,1,30,1e-05,1275.16176470565,21.9153427842349,22.724616580741,67.088814655475,0.425686120986938
18,3,5,2,30,1e-04,1276.04411764683,2.77079428992694,99.5198321023594,110.230699891707,0.440149068832397
18,4,2,1,30,1e-05,1278.74999999977,0.293659169992832,526.973693493043,87.5643501345703,0.400530338287354
18,5,2,1,30,1e-06,1275.27941176447,0.0370969682992712,47.3783538901547,79.4939735196011,0.398616552352905
36,1,14,5,30,0.01,1273.56818181841,22.6317341178815,97.0155557882806,241.101644760993,0.782917261123657
36,2,4,1,30,1e-04,1267.38636363659,27.3436268177999,19.1136435069158,54.3338612116329,0.770279884338379
36,3,4,1,30,1e-05,1271.14393939417,13.473739006845,18.9540325338088,251.970456488929,0.773900985717773
36,4,2,1,30,1e-05,1266.90151515175,1.03933510079791,16.9727784290839,80.505935136552,0.763505935668945
36,5,5,2,30,1e-05,1267.87121212144,1.96362436341818,28.7445605542712,128.166726225774,0.781112194061279
54,1,2,1,30,1e-06,1260.01530612256,2.58344368326886,4.8843040858374,49.0797667654519,1.37777209281921
54,2,2,1,30,1e-06,1259.09693877562,2.93487846855575,6.43284385581582,43.033391483764,1.16716885566711
54,3,4,1,30,1e-06,1261.42346938787,6.5271900665984,8.71241858697278,41.8953622104042,1.15232014656067
54,4,10,3,30,1e-04,1262.15816326542,24.2831389725483,29.6503026622822,38.278985131089,1.16069436073303
54,5,2,1,30,1e-06,1261.70918367358,0.742179793725465,10.6789709302248,46.8857370308504,1.17630839347839
72,1,2,1,30,1e-05,1253.41153846154,0.66438801871922,11.9599039778273,29.9207190590806,1.35697531700134
72,2,2,1,30,1e-06,1250.18076923077,3.22144224549071,6.9584151390766,40.5967028060414,1.25868153572083
72,3,2,1,30,1e-04,1252.67307692308,8.81367881665474,14.6966017288313,114.461457875333,1.22991728782654
72,4,5,2,30,1e-06,1251.58076923077,1.56327602570107,6.4339222275527,38.6000949466598,1.23920512199402
72,5,2,1,30,1e-04,1251.05769230769,4.02814899736792,7.53502082646396,43.2463977759898,1.25143456459045
90,1,2,1,30,1e-05,1248.07098765421,1.71997277676553,5.31068179677928,44.3971937141175,1.27571773529053
90,2,4,1,30,1e-06,1248.33024691347,1.31566654861349,3.7710526116795,37.2002602821024,1.27849149703979
90,3,2,1,30,1e-04,1241.87345679001,4.64320558671352,10.333526562865,33.2406897227957,1.32208466529846
90,4,2,1,30,1e-05,1244.39197530853,5.20737312218547,3.6378985274272,54.6202029265971,1.28291797637939
90,5,14,5,30,1e-05,1246.29320987643,9.91663439828919,17.685891325892,43.6649626217886,1.39268946647644
