"SamplingSize","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"18","1276.59313725467","1.87606515176628","2.33714652215678","2.11029818507609","150.163356880825","153.226871113405","92.4296745152928","18.0327144987194","0.408277670542399","0.0170946107156615"
"36","1268.80050505074","2.31289215825137","12.6896991627149","11.7192992619074","22.2707455316652","6.34498143655683","149.924768707773","93.3339075718452","0.775097688039144","0.00624015139851698"
"54","1261.04931972801","1.02614705465538","4.01517073947434","2.46979636214632","8.60807779100448","2.40464763836675","43.9381635750062","2.9595177080513","1.16805720329285","0.0088772621373082"
"72","1251.77051282051","0.932713482533407","2.93762242285323","1.42209895950687","8.81777998112262","3.0965158981346","40.8143985095637","2.63753573068618","1.24977374076843","0.0111393673261735"
"90","1246.25205761306","2.08198782867938","3.85685049522151","2.11832874394617","6.47175365710794","3.883501811833","41.7541388726695","4.48199022539619","1.29449804623922","0.0271506482497472"
"","","","","","","","","","",""
"Distance with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.76884795693711","","","","","","","","",""
"SpearMan's correlation","0.9","","","","","","","","",""
"Validation with Testing Error","","","","","","","","","",""
"Pearson's correlation","-0.278288176166408","","","","","","","","",""
"SpearMan's correlation","-0.3","","","","","","","","",""
