"SamplingSize","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"17","1145.37499999991","0.565803263805833","6.61088464860543","6.69060510862671","20.8090935720722","2.61930171601931","20.8465373765168","2.72308620997119","0.391738891601562","0.0172022751812492"
"34","1137.3548387095","0.52646004631651","6.44554733827352","6.63218292746478","21.1827296431046","4.68911983013945","21.0783108125864","5.35988675063513","0.779553969701131","0.0116288312987019"
"51","1129.52898550699","0.270974034025757","18.0494680919158","0.302283115901116","18.7491568690258","1.46678007730673","19.3825897414536","1.27247085872128","1.12031412124634","0.0128440793223359"
"68","1121.43548387113","0.252903225806444","13.5866930407329","3.04396781914103","21.0667829729471","3.69382215168327","21.1291997314567","3.1547762924076","1.32503350575765","0.0262314112142661"
"85","1114.56709956718","0.533399444938316","10.9990073523747","2.27607042066768","18.9765099707943","0.629679420895484","19.4456958963677","0.0276114414478656","1.3632771174113","0.0168858130491036"
"","","","","","","","","","",""
"Distance with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.490236130943341","","","","","","","","",""
"SpearMan's correlation","0.3","","","","","","","","",""
"Validation with Testing Error","","","","","","","","","",""
"Pearson's correlation","-0.645768645560191","","","","","","","","",""
"SpearMan's correlation","-0.7","","","","","","","","",""
