"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
29,1,6,2,30,1e-05,1674.35714285712,7.24503823882818,32.4112516720703,36.2700369897745,1.09787368774414
29,2,14,5,30,0.001,1672.32010582008,12.1037445076404,42.0185136776986,49.6331313444442,1.11821460723877
29,3,2,1,30,0.001,1674.27248677246,16.3925974641877,33.6982852004237,45.0768980779999,1.09388303756714
29,4,2,1,30,0.01,1674.70634920632,15.2837842086859,35.4978889593429,36.8049873243734,1.10041737556458
29,5,11,4,30,0.001,1671.85978835976,16.3658855070364,36.1102722738235,41.0865745726298,1.18869996070862
58,1,8,3,30,1e-05,1658.21698113222,12.3615181538732,34.0895733161019,41.2559503957015,2.08195972442627
58,2,10,3,30,1e-04,1657.03099730472,23.0571336865582,32.9883260733183,39.4280098538838,2.14186072349548
58,3,7,2,30,0.001,1652.88814016187,13.0734330062099,39.1117298512629,42.3357664939675,2.15444850921631
58,4,20,7,30,1e-04,1652.30592991928,57.1138800502837,38.0611932381422,37.6467411552413,2.15353155136108
58,5,7,2,30,0.001,1657.23854447453,12.2738967279501,37.3643998585871,43.6543089832723,2.19002652168274
87,1,5,2,30,1e-04,1648.8417721522,25.6112556764397,29.9608890446985,36.4554867040909,2.32462692260742
87,2,4,1,30,1e-04,1642.83453887915,20.0661667258076,25.7325957460466,37.419314802087,2.32547807693481
87,3,6,2,30,1e-05,1645.71790235057,19.0819953705069,29.7632326428816,41.2742439472893,2.30125665664673
87,4,8,3,30,1e-04,1645.03345388819,14.5015750503466,30.2481113654591,36.6990047041529,2.32210731506348
87,5,2,1,30,1e-06,1644.49819168204,32.292620711656,28.6129185133299,36.6834246374058,2.26267910003662
116,1,6,2,30,1e-04,1624.87006802694,13.810367159134,27.2693422707441,37.7303092662282,2.53234314918518
116,2,14,5,30,1e-05,1632.95986394531,29.0128576237421,29.2254869358222,36.0110422500141,2.50220799446106
116,3,47,16,30,0.01,1628.92176870721,62.9064992358044,103.152558076865,39.4927436943645,2.47693514823914
116,4,17,6,30,1e-04,1633.46054421742,16.0878747282384,27.9495217401326,36.2370794430046,2.4829158782959
116,5,11,4,30,0.001,1635.28095238068,21.4548212303472,31.8382168204342,36.3463419602859,2.49146366119385
145,1,12,4,30,1e-05,1614.90730643412,18.3264197538167,28.8174527622463,37.5197426941625,2.62289500236511
145,2,11,4,30,1e-05,1617.54689203915,20.8907270291182,28.6452708756338,39.5973668550668,2.63520812988281
145,3,6,2,30,1e-05,1620.7322791711,27.7376583093739,26.1687358763732,39.1144033879967,2.73524308204651
145,4,3,1,30,1e-04,1616.17611777525,12.518020803327,21.0690994415526,37.2366272792151,2.59417867660522
145,5,12,4,30,1e-05,1618.25899672836,13.8622575381998,25.9834852385557,42.284749848304,2.77658367156982
