"SamplingSize","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"29","1673.64991181655","1.30408982310567","14.5844714077876","2.5070231896611","35.1021488111967","1.41874674088487","40.9894866583344","4.68124112429386","1.1055018901825","0.0125413184000204"
"58","1655.71922731371","2.7769494617228","16.1640282822137","6.76724189387617","36.5050554709437","2.39977856497416","41.0065755811843","1.66327029615698","2.14994692802429","0.00794144584259055"
"87","1645.08318264027","0.691834876253883","21.5864725909181","3.9834008421841","29.44568006697","0.823733279542261","36.9339147145486","0.475773758376517","2.31599696477254","0.0145156766471317"
"116","1631.78072562331","2.81606285002824","22.1851845274425","7.34794115601184","29.671075165463","2.24315100068413","36.7712435565062","0.941915348631529","2.49219584465027","0.0109391008256676"
"145","1617.32733551425","1.19798068135586","17.6931347737116","4.02486739643802","26.9324973301876","1.68178750080818","38.743837645742","1.23034294556674","2.66444873809814","0.0697273742182859"
"","","","","","","","","","",""
"Distance with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.870401105030303","","","","","","","","",""
"SpearMan's correlation","0.8","","","","","","","","",""
"Validation with Testing Error","","","","","","","","","",""
"Pearson's correlation","-0.646778984533918","","","","","","","","",""
"SpearMan's correlation","-0.5","","","","","","","","",""
