"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
31,1,5,2,30,0.01,5133.92387411304,7.70880249700898,23.2387254053632,23.279566163069,0.554919719696045
31,2,2,1,30,0.01,5134.17391877613,19.1903618911133,21.6161324223378,20.8823485481373,0.570634841918945
31,3,17,6,30,1e-04,5132.17606391141,11.1208731420493,24.9771299360698,23.2222698708079,0.580302238464355
31,4,2,1,30,0.01,5133.25421372037,22.2655638779576,20.4085308241662,20.2013861292025,0.579489946365356
31,5,8,3,30,0.01,5133.30435241789,32.1254094657543,23.7605657870711,25.574692889275,0.540842771530151
62,1,29,10,30,0.01,5121.41954739297,16.9526378611272,22.4059901767972,23.8007882541041,1.03706383705139
62,2,2,1,30,0.001,5120.64564391888,28.6126434467622,21.6855906838917,21.6209881793514,1.02954578399658
62,3,13,4,30,1e-04,5117.28142047138,22.4313896512456,21.5764982253441,21.4702375458047,1.05390071868896
62,4,2,1,30,0.01,5120.27561373804,7.48855087990967,21.6789833010694,21.0215862567275,1.03669023513794
62,5,2,1,30,1e-05,5118.57559394731,12.1331765285158,24.5848351065595,24.2567998689179,1.0403892993927
93,1,21,7,30,1e-04,5106.10555907422,17.3432307169705,19.9241549353213,20.9827520009076,1.04287195205688
93,2,2,1,30,0.001,5108.66954502335,29.7301229287114,20.8646418328809,20.0554799163264,1.04907155036926
93,3,40,13,30,0.01,5103.30643261586,19.5714828171806,21.4700946818133,20.4833426145995,1.03346538543701
93,4,2,1,30,0.001,5105.99270834068,20.863737977016,19.3058242812673,19.814660400058,1.08672618865967
93,5,38,13,30,1e-04,5103.39658481778,17.8497873641044,20.0437004926988,20.5647515296038,1.31830358505249
124,1,15,5,30,1e-04,5093.08091680805,16.3097623767095,19.6569907721637,19.7411807586144,1.08601069450378
124,2,23,8,30,0.01,5091.12575224983,15.9534725450489,19.8010264640916,20.1325740597715,1.12959384918213
124,3,31,10,30,0.001,5092.72971560788,17.7815411472631,20.2898547624428,21.0522191726895,1.24949264526367
124,4,37,12,30,1e-04,5089.97508559033,17.9713370156812,19.3293058355694,19.3770417069072,1.05315685272217
124,5,20,7,30,0.001,5090.54865269872,24.2378824800587,20.1138359236726,20.1543170764652,1.08263158798218
155,1,47,16,30,0.001,5077.40077650471,16.7715946661738,21.9625992266017,22.0924663629324,1.14710760116577
155,2,5,2,30,1e-05,5077.43613258848,11.3677111151978,20.7637663446075,21.2250628215003,1.16680717468262
155,3,25,8,30,0.01,5077.00218450757,19.6007686948548,19.4018658930486,19.5191822644784,1.15594363212585
155,4,35,12,30,0.001,5076.41592367515,24.0307229652973,21.6107494466434,21.5126009829045,1.13190007209778
155,5,38,13,30,1e-04,5075.15598178536,17.323619013384,20.4495777150155,20.5750595371069,1.15137434005737
