"SamplingSize","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"31","5133.49414675043","0.422087227748853","17.5255996370401","6.51333764394273","22.8718078715907","1.26548826967865","22.4613948606714","1.547804921912","0.568348169326782","0.0140813718572372"
"62","5119.83228386808","1.24922531431546","17.1724013469629","5.83074144694222","21.9235213872528","0.472834193185849","22.2973379930867","1.47584809386303","1.03804779052734","0.00230439449238947"
"93","5105.16495074423","1.73417449100438","19.428336052767","1.71106346878661","20.277499086967","0.579361808316287","20.3678580201766","0.309576426626291","1.05955656369527","0.0268562950927779"
"124","5091.46804018548","1.27883034756467","17.3542135132179","1.02917996224779","19.8572843866426","0.264298783442675","20.0093572982837","0.263100785777781","1.09941204388936","0.0296398969360655"
"155","5076.93962822914","0.560595109800011","17.8986607914708","1.6970556393512","20.9413645020888","0.679657403873139","21.1042411138372","0.543518053688077","1.15147519111633","0.00500043198403121"
"","","","","","","","","","",""
"Distance with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.76139582883181","","","","","","","","",""
"SpearMan's correlation","0.7","","","","","","","","",""
"Validation with Testing Error","","","","","","","","","",""
"Pearson's correlation","-0.410501631854416","","","","","","","","",""
"SpearMan's correlation","-0.2","","","","","","","","",""
