"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
11,1,2,1,30,0.01,460.949999999979,5.11296615552128,5.41965618215112,4.97671768253288,0.189659357070923
11,2,1,0,30,0.01,460.616666666646,3.13324621675166,6.75626804646857,4.80283439212032,0.205012559890747
11,3,2,1,30,0.01,461.416666666646,2.04793197755052,4.9056091391272,4.89997396550956,0.200650930404663
11,4,5,2,30,0.01,460.816666666646,0.163990288367346,4.84350654797992,6.37810319463755,0.211698055267334
11,5,2,1,30,0.01,459.716666666646,0.657436433298498,5.8230409850962,5.3769138176191,0.194113969802856
22,1,2,1,30,0.001,455.15000000001,0.589452797155196,5.55404775651837,3.61946458088437,0.394704103469849
22,2,13,4,30,0.01,454.75000000001,1.14696384150417,5.23149711461601,3.77133420213583,0.39801287651062
22,3,1,0,30,0.01,454.95000000001,1.46564824475475,6.12397069557078,4.27760372444467,0.386032819747925
22,4,13,4,30,0.01,455.533333333344,1.55617855066493,5.36531970421434,3.35593599224811,0.398408651351929
22,5,3,1,30,0.01,454.65000000001,3.09454223765742,2.61066486546544,2.73021577934273,0.402366876602173
33,1,2,1,30,0.01,450.472222222212,2.45775997684972,3.80239733221065,3.81507851187889,0.593559741973877
33,2,2,1,30,1e-04,449.505555555545,2.34803023766831,4.15783473313244,3.76423742987646,0.600956678390503
33,3,1,0,30,0.01,449.916666666656,5.42790065291281,6.18021521722204,5.04389673773633,0.598113059997559
33,4,2,1,30,0.001,449.338888888878,2.45582216950862,4.34122713556626,5.07563250970796,0.610262632369995
33,5,4,1,30,0.01,450.48333333331,3.75042174055852,3.45306508212236,3.23747455210125,0.586818218231201
44,1,2,1,30,1e-04,445.841666666687,4.21731316339851,2.60587055682362,3.51647557094222,0.797793388366699
44,2,8,3,30,0.001,443.916666666687,1.13916658738198,3.49977098136044,3.64069792322675,0.786774158477783
44,3,2,1,30,1e-06,445.85000000002,0.700307754529309,1.94491855157181,2.88405286010876,0.802565097808838
44,4,6,2,30,0.01,445.591666666687,3.83882993135059,3.50525493931707,3.62414811067018,0.789324045181274
44,5,6,2,30,0.001,445.416666666687,1.19637035488097,3.63756582238772,4.1124699671118,0.812434673309326
55,1,2,1,30,1e-04,439.71,1.00141083461031,2.30163673037624,3.22085018656365,1.00857353210449
55,2,5,2,30,0.001,440.97,1.29125232632193,2.47505892584238,3.94073914726201,0.996517658233643
55,3,2,1,30,0.01,443.849999999987,1.53452439183899,1.77763268011366,3.2494757655182,1.03715538978577
55,4,6,2,30,1e-04,442.083333333333,2.38334186507254,2.52408830305644,3.22384738255247,1.11761689186096
55,5,2,1,30,1e-04,444.21,1.92528062701906,2.88388359703295,3.21039714574575,0.984796047210693
