"SamplingSize","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"11","460.794444444424","0.189854265096427","1.94620487586689","1.40436419700291","5.38276876879151","0.520343159736543","5.08453515522051","0.289802556445594","0.199925820032756","0.0062072672157804"
"22","454.95000000001","0.22632130552232","1.38959687897461","0.243234939781806","5.38362152511624","0.183379435951568","3.58224492508944","0.237847151547956","0.397041877110799","0.00230193596864526"
"33","449.964814814804","0.548974732128713","2.88800129563895","0.845172747196685","4.10048640030312","0.310008586121263","4.20773755983056","0.81994075058674","0.597543160120646","0.0042223113943541"
"44","445.616666666687","0.241711260253472","2.05812229120451","1.74539360678199","3.20363215916705","0.585814587650586","3.59377386827972","0.0763288873576064","0.796560843785604","0.00758857930014029"
"55","442.301111111107","1.6434302433972","1.58368578172666","0.361955988716409","2.43359465309169","0.132260745699314","3.23139111154478","0.0178039085433836","1.01408219337463","0.0236182119438386"
"","","","","","","","","","",""
"Distance with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.957168096412571","","","","","","","","",""
"SpearMan's correlation","0.9","","","","","","","","",""
"Validation with Testing Error","","","","","","","","","",""
"Pearson's correlation","-0.0693825427640429","","","","","","","","",""
"SpearMan's correlation","-0.3","","","","","","","","",""
