"SamplingSize","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"16","558.427777777765","1.19361296123771","1.87452929386634","0.792027205147257","10.5938430644041","1.27170171726378","9.72349001122782","0.871567130418202","0.326647122701009","0.00421013782978062"
"32","552.025862068908","0.609526173485016","3.24895965685766","1.27011840114041","7.00089812718011","0.752788256998247","8.79586102816687","0.449059253708388","0.617420514424642","0.00305611285027132"
"48","545.143939393993","1.18899190271423","5.11182767300511","2.27281681570684","5.37995330758147","0.826574355002474","7.82834163776747","0.547214195079476","0.958247661590576","0.00556189511141479"
"64","538.321839080459","0.449305684158894","2.12961915584995","1.64357720050219","3.87297000756128","0.407345482937768","8.29632324626561","0.441603896812172","1.12643575668335","0.00967802809712259"
"80","530.615740740739","1.25698035894396","1.17815277077627","0.186775556085896","2.58206987030582","0.821735712166206","7.88846221853916","0.185848966293354","1.16347440083822","0.00486145751138842"
"","","","","","","","","","",""
"Distance with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.96778943767154","","","","","","","","",""
"SpearMan's correlation","1","","","","","","","","",""
"Validation with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.0880560165986902","","","","","","","","",""
"SpearMan's correlation","0.3","","","","","","","","",""
