"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
94,1,35,12,30,0.01,467.099818541851,27.1758990632667,35.2766811126437,35.9985120438554,2.20601105690002
94,2,19,6,30,0.01,471.288885462853,33.106069584234,36.5370371759659,36.5522486718095,2.19764614105225
94,3,25,8,30,0.01,468.839697415597,25.8967053321747,32.4908260510502,34.0596807595253,2.19229078292847
94,4,6,2,30,0.01,465.514696822439,23.2513193445421,36.0500750534345,31.9817256909219,2.21716356277466
94,5,15,5,30,0.01,467.854598814655,36.2055149373537,34.7292458595563,33.9059659843769,2.20853495597839
188,1,8,3,30,0.001,428.568609865884,22.3041741736429,37.1942198183241,34.2823954141214,2.89578175544739
188,2,16,5,30,0.001,423.398603631972,34.7522377489821,34.9783633690436,34.2903495769798,2.76943707466125
188,3,26,9,30,0.01,421.850235915276,35.55026409097,32.4348280513204,33.5122562272776,2.76305174827576
188,4,1,0,30,0.01,420.177875849705,25.131840108844,28.1826055238808,31.1186909813677,2.79356646537781
188,5,44,15,30,0.01,422.391990393059,22.0945809125302,31.2317018503176,31.7343670758443,2.77854323387146
282,1,1,0,30,0.01,379.45366112071,35.0873431034153,33.6486445501601,34.3383326013035,3.41767716407776
282,2,47,16,30,0.001,382.281097981242,31.9481525484414,33.4122435385,33.4185248455093,3.42922306060791
282,3,21,7,30,0.01,380.871107949396,31.1304672156785,31.2699010939092,33.0761945440056,3.39611005783081
282,4,45,15,30,0.001,381.01265131172,30.521709257296,32.0133850583674,33.3832350065301,3.52146029472351
282,5,1,0,30,0.01,381.682385395511,24.1285344095039,34.0370120741586,36.2956474677526,3.40803408622742
376,1,27,9,30,0.001,337.702607824404,32.9471245425386,37.4396931399041,33.4708964382457,4.08340716362
376,2,48,16,30,0.001,338.515685431498,28.4764609525832,30.874246173115,31.7254169205102,4.07586717605591
376,3,44,15,30,0.01,338.582210006055,28.8584184743671,31.2329255776489,32.3800164347626,4.10454559326172
376,4,50,17,30,0.01,339.177684663118,29.6481521088317,31.9053009493945,31.5567489509066,4.12988638877869
376,5,34,11,30,0.01,338.732261891457,31.250607939458,33.2793276860265,32.957517938596,4.12445950508118
470,1,23,8,30,0.01,294.345795906147,28.6634537345914,32.4739103454581,33.3533166797847,4.91597771644592
470,2,2,1,30,0.01,294.253689757403,24.0917422466413,39.9937551357239,34.8301704460948,4.7824010848999
470,3,1,0,30,0.01,292.501059142282,30.9948636436568,32.2697527399597,32.3702013772682,4.85920548439026
470,4,52,17,30,0.001,296.396629825894,30.2344865916672,31.7631357006793,31.84998336878,4.84720277786255
470,5,1,0,30,0.01,299.057806660911,28.128268564759,30.6656240750468,31.3470892849892,4.85801291465759
