"SamplingSize","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"94","467.931371590701","0.987300054034937","28.7262246598918","4.35284263513","35.3520006752115","0.750965857570083","34.6547195959192","1.31978540428547","2.20406405131022","0.0064496306611914"
"188","422.546943313435","0.8891349065023","27.3960840104897","7.38443034284037","32.8816310902272","2.16462245323038","33.1763395724144","1.47879027819836","2.78051559130351","0.0137886392123808"
"282","381.188714885542","0.490380823961407","31.2001096738053","0.809966823990559","33.0247577156759","1.00012979526966","33.7133641511143","0.612794468588856","3.41831143697103","0.0120048938876191"
"376","338.610052443003","0.125540724607591","29.9190595075523","1.37930058053307","32.13918473769","1.18032941112553","32.3543170979563","0.697581569127533","4.1041374206543","0.0232309928740058"
"470","294.998705163148","1.37095702716503","29.0087362970059","1.23881387700492","32.1689329286991","0.414117936720238","32.5245004752776","0.863927239611963","4.85480705897013","0.00748268123096992"
"","","","","","","","","","",""
"Distance with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.86028956600476","","","","","","","","",""
"SpearMan's correlation","0.8","","","","","","","","",""
"Validation with Testing Error","","","","","","","","","",""
"Pearson's correlation","-0.179901577011596","","","","","","","","",""
"SpearMan's correlation","-0.2","","","","","","","","",""
