"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
234,1,21,7,30,0.01,994.185496473546,25.3538598491362,37.9713050105062,37.9275120673653,10.1495327949524
234,2,50,17,30,0.01,940.902715275549,20.0034289952134,41.9648510575987,43.0845375962787,10.096088886261
234,3,47,16,30,0.01,957.9023125323,19.511227390968,36.585501108798,38.2522966049143,10.2085926532745
234,4,1,0,30,0.01,959.861400434428,28.628807432568,39.1746172038862,40.5358443011812,10.335946559906
234,5,24,8,30,0.001,957.397921826632,21.8937939091752,40.0601365337405,40.0491500517092,13.7578902244568
468,1,1,0,30,0.01,824.390959603946,31.8750825274804,38.0552368791991,37.7670507788946,23.6818647384644
468,2,41,14,30,0.001,839.818958967787,48.8047642054291,37.8530678519514,37.430966021992,23.207026720047
468,3,1,0,30,0.01,847.490788815324,44.2942243604348,37.5824786891558,36.5701598229925,24.0276019573212
468,4,19,6,30,0.001,863.50558155129,26.5074678843116,39.8603836861882,37.6832025224811,24.6226446628571
468,5,25,8,30,0.001,852.837058503816,43.44639449077,38.8694461322334,36.8210389475849,24.9399197101593
702,1,2,1,30,0.01,722.242091487342,33.6937859822119,34.7715666166337,34.3773198703196,29.3512511253357
702,2,51,17,30,0.001,734.725827481632,40.8071187054504,36.1256184171632,35.3091010048153,26.3878283500671
702,3,50,17,30,0.001,739.749235997199,40.1720034080842,38.292604747,37.2561352499058,24.3466899394989
702,4,47,16,30,0.01,730.841175345406,25.9742474456099,36.9985367971003,37.3981090638089,25.8228328227997
702,5,14,5,30,0.01,735.949832183297,34.6586304825953,39.0148393533027,37.9683824929761,24.6263573169708
936,1,2,1,30,0.01,616.646910621312,37.4962508655688,35.4808633013121,35.276678790038,32.6262476444244
936,2,1,0,30,0.01,626.120168082403,35.5461115158785,38.5323271783351,37.7903484271642,32.5546607971191
936,3,45,15,30,0.001,619.879949425473,32.9239215978515,36.7868858231419,34.8760953404556,32.1329953670502
936,4,2,1,30,0.01,635.337295489331,35.0282059015682,35.2023904859379,34.7794291859533,33.4996435642242
936,5,41,14,30,0.01,615.315116680781,35.0019803549878,37.8300549985142,37.4265601523651,34.7566196918488
1170,1,2,1,30,0.01,511.505238710719,35.131343837768,35.4486634575852,35.5518695787927,44.1256034374237
1170,2,2,1,30,0.01,517.622654382085,36.6861566604216,38.1390495069585,37.892632742379,54.2449176311493
1170,3,1,0,30,0.01,512.02791244496,44.7560674103273,36.4919502554124,35.1779259252394,59.3570289611816
1170,4,2,1,30,0.01,509.007364394274,31.4700472445609,35.8805544537876,36.3346243890727,55.405645608902
1170,5,1,0,30,1e-05,518.73465705141,33.6266097359964,35.661899518299,35.7381929878944,43.1035706996918
