"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
316,1,1,0,30,0.01,518.375178299674,12.0973362418921,10.368427075017,11.6071066938678,15.9565188884735
316,2,1,0,30,0.01,525.705626127252,12.2467832362186,10.4426725400103,11.8309859779412,15.8202364444733
316,3,1,0,30,0.01,524.175971471761,9.52337515425593,10.3690414232807,11.4299782493319,15.9832606315613
316,4,42,14,30,0.01,521.183666027228,8.67633536666114,10.9722631181342,11.246114358793,21.4127244949341
316,5,1,0,30,0.01,523.475292672755,11.2621186638872,10.3208438676584,11.1813443787622,22.4359939098358
632,1,1,0,30,0.01,402.471731242595,10.4804344288861,10.0047541682115,10.8620604981358,40.8451526165009
632,2,1,0,30,0.01,406.092394016056,10.1895307498473,10.3482102994304,10.8013604168535,41.4448630809784
632,3,1,0,30,0.01,414.501438992472,11.0288746387913,10.3261611650169,10.9224135434549,35.8584876060486
632,4,1,0,30,0.01,400.71786194803,9.54103989824576,10.168786074866,10.756758034849,29.6884562969208
632,5,36,12,30,0.01,406.341527725046,8.54684610605276,11.351874484003,10.8760612831003,29.4886772632599
948,1,1,0,30,0.01,310.026977399713,10.7514184455715,10.4785969528347,10.6800435354199,44.7789545059204
948,2,1,0,30,0.01,314.987443568774,10.7461534699684,10.390782672667,10.3888748156115,44.7948412895203
948,3,1,0,30,0.01,305.628819421968,9.88497668513393,10.3132596358575,10.3180701930601,38.3828737735748
948,4,1,0,30,0.01,308.229779238479,10.6214156759094,10.0460446942894,10.296632008889,43.7264177799225
948,5,1,0,30,0.01,304.597605018677,8.90747838795973,10.355410788034,10.4929762810654,43.922905921936
1264,1,1,0,30,0.01,219.021210143288,9.85158394704049,10.0475040286993,10.0487261100277,1.09526094595591
1264,2,1,0,30,0.001,220.365373070378,10.3659722987237,10.0485843029674,10.0834442272007,1.45584066708883
1264,3,1,0,30,0.01,222.108148364946,9.44752186958254,10.603186191502,10.5946708411756,1.23466140031815
1264,4,1,0,30,0.01,212.131542018679,10.3679178531764,10.0276350838701,10.0243368867891,53.3423316478729
1264,5,1,0,30,0.01,220.757186245607,10.779225472179,10.5358139694206,10.5369594365687,1.00533221165339
1580,1,1,0,30,0.01,137.088991250234,9.15472304099749,9.97676769734144,10.0639810701016,1.3331520875295
1580,2,1,0,30,0.01,137.117356844747,10.7661402392083,9.70241857350252,9.70384282788772,1.16977558533351
1580,3,1,0,30,0.01,141.095619263676,9.592529651567,10.5068833034118,10.5043247391146,1.3933334906896
1580,4,1,0,30,0.01,139.920843735333,9.43993072711474,10.1482272078085,10.1483507170281,1.66733669837316
1580,5,1,0,30,0.01,142.051499008938,10.2452787227239,10.1110118544064,10.1100181359808,1.1950668891271
