"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
269,1,27,9,30,0.001,913.363242863179,1674.49681808704,1742.958309364,1908.65412908018,13.0404706001282
269,2,38,13,30,0.001,918.36287929399,1270.93173318747,1739.91991991283,1750.26940074588,13.3848302364349
269,3,2,1,30,0.01,954.373710757226,1431.083432594,1828.27972723335,1696.10218480415,13.1836860179901
269,4,26,9,30,0.01,935.001620609751,1334.7553735153,2041.80868297193,1994.19576566709,13.6908478736877
269,5,7,2,30,0.001,925.645409425246,1199.97842457592,2184.83658875544,1895.65410745409,13.5210223197937
538,1,26,9,30,0.001,791.9565942235,1819.13210228053,1867.01744945039,1922.02466278,23.397679567337
538,2,5,2,30,1e-05,840.175230973648,1509.73958438484,1951.48163732433,1855.79725278655,23.7878711223602
538,3,50,17,30,0.001,793.560432629663,2023.92649305683,2041.17924543818,1896.59793644048,23.070127248764
538,4,1,0,30,0.01,798.872142579065,2110.99994299281,1970.08311006909,1896.14794664261,24.2389023303986
538,5,1,0,30,0.01,785.367045038059,2288.38269305367,2043.47491635554,2010.62851954298,26.567821264267
807,1,7,2,30,0.001,661.526693831618,1520.23399471068,1999.84929879298,1772.38483740484,50.5114495754242
807,2,8,3,30,0.001,675.694140091449,993.595935574123,1870.70244697048,1894.56343572778,48.9885673522949
807,3,22,7,30,1e-04,666.605936403105,1752.42689424905,1956.11921651805,1862.50688372087,45.7256569862366
807,4,44,15,30,0.001,666.272465254463,1696.86806877742,1628.4664647058,1643.07552406245,33.6843259334564
807,5,2,1,30,1e-04,662.296562416669,1735.88382501398,2503.60671905351,2043.60023559574,36.0479435920715
1076,1,26,9,30,0.01,534.969189465765,1811.81592488812,1769.48981387769,1832.42673491264,45.449592590332
1076,2,1,0,30,0.01,545.49223725696,1691.82941007673,1887.48402029717,1914.5939037697,42.4828581809998
1076,3,21,7,30,1e-04,565.446557182328,1583.38155143564,1897.84963753888,1988.13216595227,44.4941608905792
1076,4,3,1,30,0.001,540.607873836176,1455.81276246423,1697.98665390051,1799.33172258262,40.566522359848
1076,5,47,16,30,0.001,537.886897431469,1650.4518276701,1887.21875033673,1962.96128209838,41.5520889759064
1345,1,30,10,30,0.001,406.55293752507,1733.57334694508,2058.87334714488,1993.64657344671,59.1845269203186
1345,2,40,13,30,0.001,434.094824349544,1671.09515967167,1743.47293294157,1805.26207358167,1.43699435393016
1345,3,14,5,30,1e-04,411.232418252421,1823.25349103599,2121.60950131132,1902.80791903716,1.1571293870608
1345,4,38,13,30,1e-04,410.437063764363,1782.43532751527,2028.60723394578,2101.86376080705,54.7660694122314
1345,5,1,0,30,0.01,410.131480531915,2043.69278620203,1951.43957022497,1920.09438177737,53.3101313114166
