"SamplingSize","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"269","926.336636442996","9.43859391901266","1345.59017976559","91.2343436148838","1871.01557318976","174.199976559514","1851.52587909338","99.5035843281277","13.3631795247396","0.192041696568604"
"538","794.796389810743","4.09602406282069","1984.68617944339","169.558166866661","1987.58133094386","53.5700190660972","1904.9235152877","16.7610584239236","23.8081510066986","0.476381335946221"
"807","665.058321358079","2.71309245451062","1650.99529616736","130.033583994624","1942.22365409384","74.3297737487079","1843.15171895116","71.6841186615905","43.587389310201","7.61581090932604"
"1076","541.329002841535","4.36077151043888","1641.88759639416","61.9314932209593","1848.0641948372","77.00303961514","1903.32730692691","74.6776217885932","42.8430360158285","1.70164533153373"
"1345","410.600320849567","0.643132542419347","1779.75405516545","50.8093092206393","2012.97338377188","62.6874990591438","1938.84962475375","54.5844415732086","36.5043983591927","34.3759276867728"
"","","","","","","","","","",""
"Distance with Testing Error","","","","","","","","","",""
"Pearson's correlation","-0.325538404442688","","","","","","","","",""
"SpearMan's correlation","-0.3","","","","","","","","",""
"Validation with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.724187936837547","","","","","","","","",""
"SpearMan's correlation","0.8","","","","","","","","",""
