 prediced Y:tensor([0.0082], grad_fn=<AddBackward0>), Real Y:tensor([268.7200]) loss=268.7117614746094
 prediced Y:tensor([0.0289], grad_fn=<AddBackward0>), Real Y:tensor([244.4333]) loss=244.4044189453125
 prediced Y:tensor([0.0549], grad_fn=<AddBackward0>), Real Y:tensor([580.6266]) loss=580.57177734375
 prediced Y:tensor([0.0875], grad_fn=<AddBackward0>), Real Y:tensor([612.9700]) loss=612.8824462890625
 prediced Y:tensor([0.1350], grad_fn=<AddBackward0>), Real Y:tensor([690.3900]) loss=690.2550048828125
 prediced Y:tensor([0.2049], grad_fn=<AddBackward0>), Real Y:tensor([683.5433]) loss=683.3384399414062
 prediced Y:tensor([0.3088], grad_fn=<AddBackward0>), Real Y:tensor([775.6800]) loss=775.3711547851562
 prediced Y:tensor([0.4346], grad_fn=<AddBackward0>), Real Y:tensor([683.5200]) loss=683.0853881835938
 prediced Y:tensor([0.6447], grad_fn=<AddBackward0>), Real Y:tensor([555.6334]) loss=554.9886474609375
 prediced Y:tensor([0.9310], grad_fn=<AddBackward0>), Real Y:tensor([561.3333]) loss=560.40234375
 prediced Y:tensor([1.2152], grad_fn=<AddBackward0>), Real Y:tensor([561.9333]) loss=560.7181396484375
 prediced Y:tensor([1.3569], grad_fn=<AddBackward0>), Real Y:tensor([721.5634]) loss=720.2064208984375
 prediced Y:tensor([2.3899], grad_fn=<AddBackward0>), Real Y:tensor([555.1800]) loss=552.7900390625
 prediced Y:tensor([2.1697], grad_fn=<AddBackward0>), Real Y:tensor([511.1533]) loss=508.9836120605469
 prediced Y:tensor([3.4444], grad_fn=<AddBackward0>), Real Y:tensor([783.7833]) loss=780.3389282226562
 prediced Y:tensor([3.6245], grad_fn=<AddBackward0>), Real Y:tensor([244.2767]) loss=240.65216064453125
 prediced Y:tensor([5.5690], grad_fn=<AddBackward0>), Real Y:tensor([775.8100]) loss=770.2410278320312
 prediced Y:tensor([6.9335], grad_fn=<AddBackward0>), Real Y:tensor([556.3400]) loss=549.406494140625
 prediced Y:tensor([5.5548], grad_fn=<AddBackward0>), Real Y:tensor([267.8533]) loss=262.2985534667969
 prediced Y:tensor([10.4737], grad_fn=<AddBackward0>), Real Y:tensor([651.2000]) loss=640.726318359375
 prediced Y:tensor([11.5337], grad_fn=<AddBackward0>), Real Y:tensor([645.5100]) loss=633.976318359375
 prediced Y:tensor([13.1628], grad_fn=<AddBackward0>), Real Y:tensor([556.6300]) loss=543.4672241210938
 prediced Y:tensor([17.2153], grad_fn=<AddBackward0>), Real Y:tensor([645.3800]) loss=628.1647338867188
 prediced Y:tensor([16.0615], grad_fn=<AddBackward0>), Real Y:tensor([712.6367]) loss=696.5751953125
 prediced Y:tensor([16.8982], grad_fn=<AddBackward0>), Real Y:tensor([509.3700]) loss=492.4717712402344
 prediced Y:tensor([20.4232], grad_fn=<AddBackward0>), Real Y:tensor([260.6367]) loss=240.2135009765625
 prediced Y:tensor([27.0692], grad_fn=<AddBackward0>), Real Y:tensor([576.2767]) loss=549.2073974609375
 prediced Y:tensor([33.9959], grad_fn=<AddBackward0>), Real Y:tensor([652.3734]) loss=618.37744140625
 prediced Y:tensor([29.5012], grad_fn=<AddBackward0>), Real Y:tensor([510.8567]) loss=481.3554992675781
 prediced Y:tensor([39.0969], grad_fn=<AddBackward0>), Real Y:tensor([561.8467]) loss=522.749755859375
 prediced Y:tensor([39.0720], grad_fn=<AddBackward0>), Real Y:tensor([580.8766]) loss=541.8046264648438
 prediced Y:tensor([43.7857], grad_fn=<AddBackward0>), Real Y:tensor([722.0367]) loss=678.2509765625
 prediced Y:tensor([54.8955], grad_fn=<AddBackward0>), Real Y:tensor([249.4400]) loss=194.54446411132812
 prediced Y:tensor([71.2709], grad_fn=<AddBackward0>), Real Y:tensor([651.6400]) loss=580.3690795898438
 prediced Y:tensor([54.4882], grad_fn=<AddBackward0>), Real Y:tensor([604.7466]) loss=550.2584228515625
 prediced Y:tensor([75.7379], grad_fn=<AddBackward0>), Real Y:tensor([576.4100]) loss=500.672119140625
 prediced Y:tensor([67.7826], grad_fn=<AddBackward0>), Real Y:tensor([612.6433]) loss=544.8606567382812
 prediced Y:tensor([87.5978], grad_fn=<AddBackward0>), Real Y:tensor([249.7300]) loss=162.13223266601562
 prediced Y:tensor([101.0369], grad_fn=<AddBackward0>), Real Y:tensor([509.0333]) loss=407.9964294433594
 prediced Y:tensor([123.2029], grad_fn=<AddBackward0>), Real Y:tensor([652.4833]) loss=529.2803955078125
 prediced Y:tensor([124.9992], grad_fn=<AddBackward0>), Real Y:tensor([690.8734]) loss=565.8741455078125
 prediced Y:tensor([151.6304], grad_fn=<AddBackward0>), Real Y:tensor([561.9700]) loss=410.339599609375
 prediced Y:tensor([186.6678], grad_fn=<AddBackward0>), Real Y:tensor([644.1600]) loss=457.49212646484375
 prediced Y:tensor([149.3723], grad_fn=<AddBackward0>), Real Y:tensor([712.9167]) loss=563.54443359375
